title,price,rating,reviews,availability
"SUBSONIC - Arcade stick compatible with PS4, Xbox Serie X/S, Xbox One, PC, PS3",,4.0 out of 5 stars,87 ratings,In Stock
PlayStation 4 Slim 1TB Console,,4.6 out of 5 stars,"15,787 ratings",Not Available
PlayStation®4 Console – Call of Duty® Modern Warfare II Bundle,,4.4 out of 5 stars,146 ratings,Not Available
"Wuthur PS4 Controller Wireless 2 Pack, Compatible with PlayStation 4 - Black & White",,4.2 out of 5 stars,552 ratings,Not Available
"PS4 Controller Charger Dock Station, OIVO 1.8Hrs PS4 Controller Charging Dock, Charging Station Replacement for PlayStation 4 Dualshock 4 Charger",,4.7 out of 5 stars,"40,396 ratings",Not Available
DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,,4.6 out of 5 stars,"169,579 ratings",Not Available
"FASIGO PS4 Controller 2 Pack, Wireless PS4 Controller for PS4 / Pro/Slim & PC, with 2 USB C Cable - Black",,4.3 out of 5 stars,880 ratings,Not Available
"GamingBoy 2 Pack Wireless Controller for PS4, Crack Design Remote Control for Ps4/Slim/Pro/PC with Led RGB Light-up,Hall Effect Joystick,Type-C Port,1000mah Battery,Vibration,6-Axis Sensor,Audio Jack",,4.4 out of 5 stars,129 ratings,Not Available
SHINXIN PS4 Controller 2 Pack for PS4/Slim/Pro/PC with Dual Vibration/3.5mm Audio/Type-C Port and 2 pcs Type-C Cable (Blue + Green),,4.4 out of 5 stars,323 ratings,Not Available
Sony Playstation PS4 1TB Black Console,,4.6 out of 5 stars,"1,606 ratings",Not Available
PlayStation 4 Slim 1TB Console - Only On PlayStation Bundle (Renewed) [video game],,4.3 out of 5 stars,16 ratings,Not Available
"Playstation Sony 4, 500GB Slim System [CUH-2215AB01], Black, 3003347",,4.4 out of 5 stars,384 ratings,Not Available
PlayStation®5 Digital Edition (slim),,4.6 out of 5 stars,"5,526 ratings",Not Available
Sony PlayStation 4 Pro 1TB Console - Black (PS4 Pro),,4.4 out of 5 stars,"4,137 ratings",Not Available
PlayStation 4,,4.6 out of 5 stars,"13,656 ratings",Not Available
PlayStation 4 Pro 1TB Console,,4.6 out of 5 stars,"12,776 ratings",Not Available
PS4 Slim 500GB Console + Controller,,4.4 out of 5 stars,"1,924 ratings",Not Available
"RALAN Wireless Controller Compatible with Playstation 4 for PS4/Pro/Slim, 1000mAh Rechargeable Battery Gamepad Joystick for PS4 with 3.5mm Audio Jack! 6 Thumb Caps Included! (White-Pink)",,4.0 out of 5 stars,110 ratings,Not Available
"FASIGO PS4 Controller 2 Pack, Wireless PS4 Controller for PS4 / Pro/Slim & PC, with 2 USB C Cable - Black",,4.3 out of 5 stars,880 ratings,Not Available
"PDP RIFFMASTER Wireless Guitar Controller for PlayStation 5 and PlayStation 4, PS5/PS4, Rock Band 4, Fortnite Festival, Audio Jack, Rechargeable Battery, Officially Licensed by Sony - Black",,4.3 out of 5 stars,963 ratings,In Stock
"MOOGOLE Wireless Controller for PS4, with USB C Cable/1000mAh Battery/Dual Motors/6-Axis Gyro/3.5mm Audio Jack/Multi Touch Pad/Share Button, Compatible with PS4/Slim/Pro/PC (Colorful Arrows)",,4.2 out of 5 stars,"4,055 ratings",Not Available
"TIANHOO PS4 Controller, Wireless PS4 Controller for PS4/Pro/Slim, with Vibration Feedback, Motion Sensing, Touchpad, Light Bar, Share, Speaker, 3.5mm Headphone Jack (Graffiti)",,4.2 out of 5 stars,"4,214 ratings",Not Available
"PDP RIFFMASTER Wireless Guitar Controller for PlayStation 5 and PlayStation 4, PS5/PS4, Rock Band 4, Fortnite Festival, Audio Jack, Rechargeable Battery, Officially Licensed by Sony - Black",,4.5 out of 5 stars,963 ratings,In Stock
"TREE.NB Vertical Stand Charger for PS4 Cooling Fan,Dual Controller Charging Station for Sony PlayStation 4 Game Console for PlayStation 4 Charger(Not for PS4 Slim/PS4 Pro",,3.7 out of 5 stars,18 ratings,Not Available
"LRSKKD Wireless Controller Compatible with Ps4/Ps4 Slim/Ps4 Pro, Wireless Gams Controller with Dual Vibration, 6-Axis Motion, Audio Function",,4.1 out of 5 stars,187 ratings,Not Available
"suptek Glass Floating Shelves, TV Wall Mount with Shelf for DVD Player / PS4 / Cable Boxes/Game Consoles/Sky Box/TV Accessories, Media Shelf, Flat Black Wall Mount Bracket, AV Shelf, 2 Tiers Shelves",,4.5 out of 5 stars,897 ratings,Not Available
"BINNUNE Gaming Headset with Mic for Xbox Series X|S Xbox One PS4 PS5 PC NS, Wired Audifonos Gamer Headphones with Microphone for Xbox 1 PS 4|5",,4.4 out of 5 stars,"2,843 ratings",Not Available
"CG-01 2.4Ghz Wireless Gaming Headset for Nintendo Switch丨OLED丨Lite, Bluetooth 5.4 Gaming Headphones with Noise Cancelling Microphone, 40Hr Battery, USB & Type-C Connector for PS5, PS4, PC, Laptop, Mac",,4.5 out of 5 stars,226 ratings,Not Available
"TIANHOO PS4 Controller, Wireless PS4 Controller for PS4/Pro/Slim, with Vibration Feedback, Motion Sensing, Touchpad, Light Bar, Share, Speaker, 3.5mm Headphone Jack (Graffiti)",,4.2 out of 5 stars,"4,214 ratings",Not Available
"2 Pack Controller with Charging Dock Station for PS4, Wireless Controller Compatible with PS4/Pro/Slim, with LED Charging Dock 2 Controller",,4.3 out of 5 stars,57 ratings,Not Available
